iter	Logloss
0	0.665045318
1	0.6410509538
2	0.6214726789
3	0.5993282425
4	0.5782549508
5	0.5595336841
6	0.542533799
7	0.5272214398
8	0.5139341052
9	0.5035639096
10	0.4902006882
11	0.4803893356
12	0.4708375609
13	0.46074638
14	0.4509475951
15	0.4397060009
16	0.4325559486
17	0.4242645313
18	0.4164797614
19	0.4073251105
20	0.3991080317
21	0.3904399895
22	0.3843978279
23	0.3792405002
24	0.3749270337
25	0.3676945272
26	0.3617253818
27	0.3555873173
28	0.3510506626
29	0.3450755779
30	0.3379620065
31	0.3341760534
32	0.3311344166
33	0.3275830705
34	0.3249191523
35	0.3194940971
36	0.3151319652
37	0.3129048304
38	0.3079712309
39	0.3010018218
40	0.2961408714
41	0.2907778015
42	0.2860889111
43	0.2814209256
44	0.2768307382
45	0.272556423
46	0.2684256412
47	0.2653842418
48	0.2623592541
49	0.2587990541
50	0.2547480136
51	0.2524788011
52	0.248042342
53	0.2458814752
54	0.2431424274
55	0.2404647098
56	0.2382954583
57	0.2352856477
58	0.2333525359
59	0.2316398093
60	0.2294012078
61	0.225578237
62	0.2239724918
63	0.2206026606
64	0.2173378986
65	0.2157699134
66	0.2127940347
67	0.2099636501
68	0.2086812437
69	0.206535547
70	0.2058348133
71	0.2026687664
72	0.1997737029
73	0.1967120492
74	0.193765848
75	0.1920162863
76	0.1892586197
77	0.1862616805
78	0.1832378149
79	0.1808633746
80	0.178722374
81	0.1772955772
82	0.1760773838
83	0.173873016
84	0.1716804082
85	0.1690808871
86	0.1666036954
87	0.1650409184
88	0.1630330725
89	0.1607799303
90	0.1586907349
91	0.1568307922
92	0.1548431026
93	0.1524167063
94	0.1501868974
95	0.1479762209
96	0.1457176005
97	0.1433655135
98	0.1414775882
99	0.139440309
100	0.1373700911
101	0.1355617434
102	0.134163495
103	0.1325354267
104	0.1306133981
105	0.1290537477
106	0.1281206717
107	0.1265654996
108	0.1250631411
109	0.1233170599
110	0.1218057817
111	0.1202068097
112	0.1190500923
113	0.117396262
114	0.1161909348
115	0.1148608383
116	0.1133511986
117	0.1118644873
118	0.1105131727
119	0.10932276
120	0.1079385739
121	0.1066478663
122	0.1054713857
123	0.1041156224
124	0.1030594794
125	0.1019998452
126	0.1009961277
127	0.09999705245
128	0.09886045149
129	0.09787329858
130	0.09674938891
131	0.09573990612
132	0.09469057023
133	0.09374304288
134	0.09278773455
135	0.09169217764
136	0.09091625003
137	0.08997942344
138	0.08928729789
139	0.08826405855
140	0.08740244087
141	0.08653172233
142	0.08556265629
143	0.08466579224
144	0.08414462569
145	0.08336705791
146	0.08252282913
147	0.0816780598
148	0.08083862712
149	0.08021811245
150	0.07954341546
151	0.07877978405
152	0.07813820311
153	0.07748136473
154	0.07677452129
155	0.07606876114
156	0.0753599545
157	0.07475397615
158	0.07406923594
159	0.07332503483
160	0.07270231094
161	0.07192381225
162	0.07140242601
163	0.07086823312
164	0.07032690767
165	0.06966654708
166	0.06898149722
167	0.06839829542
168	0.0679135423
169	0.06733930987
170	0.06684419131
171	0.06624806319
172	0.06577262534
173	0.06528955119
174	0.06480357866
175	0.06433193145
176	0.06378596401
177	0.06336650928
178	0.06285563857
179	0.06235169952
180	0.06187886056
181	0.06145372311
182	0.06094620585
183	0.06044222945
184	0.06002825749
185	0.05957634323
186	0.05908433506
187	0.05862757364
188	0.05819587747
189	0.05779642732
190	0.05739941735
191	0.05706741442
192	0.05673564051
193	0.05623192886
194	0.05576351407
195	0.05539119059
196	0.05501944465
197	0.05465181913
198	0.05426630781
199	0.05388004325
